epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.7814,1.6314,2.04423,1.71705,0.51592,0.63394,0.53411,0.2351,1.82511,1.74669,1.82847,0.000475134,0.000475134,0.000475134
2,172.84,1.71433,1.84936,1.77636,0.47587,0.64228,0.51695,0.21092,1.95034,1.74388,1.98111,0.000936749,0.000936749,0.000936749
3,250.268,1.71657,1.88456,1.78635,0.43683,0.62816,0.46813,0.19994,1.94875,1.92208,2.00034,0.00138363,0.00138363,0.00138363
4,327.058,1.68876,1.85193,1.76318,0.53692,0.6236,0.56625,0.2524,1.9024,1.65735,1.92183,0.00136269,0.00136269,0.00136269
5,406.058,1.63097,1.76872,1.72166,0.60621,0.69427,0.62952,0.28906,1.77815,1.69551,1.80857,0.00134058,0.00134058,0.00134058
6,483.798,1.6289,1.7041,1.72062,0.51623,0.7302,0.58617,0.25702,1.84875,1.61047,1.84564,0.00131848,0.00131848,0.00131848
7,561.804,1.61434,1.67905,1.69348,0.6071,0.72291,0.63273,0.30204,1.75155,1.59839,1.79381,0.00129637,0.00129637,0.00129637
8,639.593,1.57094,1.60854,1.68045,0.60136,0.70333,0.63589,0.29,1.77142,1.4776,1.79646,0.00127427,0.00127427,0.00127427
9,717.52,1.57883,1.61736,1.67325,0.64247,0.72829,0.67303,0.31477,1.73652,1.46875,1.77056,0.00125216,0.00125216,0.00125216
10,795.501,1.53734,1.54875,1.64782,0.59658,0.71558,0.61463,0.25517,1.92098,1.47131,1.92898,0.00123006,0.00123006,0.00123006
11,873.691,1.53035,1.54398,1.64236,0.62902,0.7534,0.67249,0.315,1.78388,1.44772,1.78562,0.00120795,0.00120795,0.00120795
12,951.805,1.48739,1.46544,1.61722,0.6457,0.71229,0.68501,0.33213,1.73148,1.3619,1.77741,0.00118585,0.00118585,0.00118585
13,1029.21,1.51632,1.48687,1.63345,0.63425,0.78416,0.67036,0.30939,1.7583,1.35639,1.76286,0.00116374,0.00116374,0.00116374
14,1107.25,1.47211,1.44247,1.59308,0.67381,0.71972,0.68362,0.30146,1.80452,1.38198,1.77723,0.00114164,0.00114164,0.00114164
15,1186.69,1.45547,1.45883,1.5848,0.65043,0.74278,0.70034,0.33975,1.68963,1.38339,1.69726,0.00111953,0.00111953,0.00111953
16,1269.73,1.45905,1.41007,1.58337,0.64558,0.78757,0.69709,0.34675,1.6364,1.30318,1.65509,0.00109743,0.00109743,0.00109743
17,1354.18,1.44439,1.41001,1.56975,0.64632,0.75633,0.68764,0.36733,1.58524,1.3968,1.64084,0.00107532,0.00107532,0.00107532
18,1432.02,1.41623,1.37133,1.54863,0.63623,0.78354,0.70125,0.35003,1.65117,1.29564,1.70018,0.00105322,0.00105322,0.00105322
19,1510.81,1.41803,1.35302,1.56875,0.65761,0.73971,0.7015,0.39256,1.54347,1.30426,1.60768,0.00103111,0.00103111,0.00103111
20,1589.48,1.40234,1.32377,1.53778,0.66267,0.81848,0.74811,0.39564,1.56468,1.27527,1.60979,0.00100901,0.00100901,0.00100901
21,1668.2,1.4041,1.31374,1.53517,0.64527,0.81554,0.68533,0.33736,1.6582,1.20319,1.65476,0.000986903,0.000986903,0.000986903
22,1746.6,1.39169,1.31674,1.52351,0.65662,0.83338,0.74011,0.40664,1.47617,1.18296,1.56702,0.000964798,0.000964798,0.000964798
23,1824.65,1.38316,1.2956,1.53103,0.67682,0.79332,0.73445,0.39637,1.51599,1.16288,1.58163,0.000942693,0.000942693,0.000942693
24,1902.84,1.38205,1.28832,1.53604,0.67082,0.79738,0.73846,0.40358,1.53071,1.22112,1.59879,0.000920589,0.000920589,0.000920589
25,1981.47,1.3483,1.28869,1.52047,0.65107,0.83806,0.71411,0.39658,1.47513,1.15462,1.5401,0.000898484,0.000898484,0.000898484
26,2097.15,1.36116,1.23766,1.51377,0.69989,0.82608,0.74955,0.41311,1.49447,1.13053,1.55846,0.000876379,0.000876379,0.000876379
27,2194.87,1.33843,1.26186,1.5117,0.70253,0.80137,0.75794,0.4386,1.43227,1.13039,1.52592,0.000854274,0.000854274,0.000854274
28,2254.75,1.3304,1.21003,1.48934,0.66938,0.81953,0.71178,0.39231,1.47014,1.24128,1.53635,0.000832169,0.000832169,0.000832169
29,2317.08,1.31568,1.21215,1.48842,0.66128,0.84625,0.72477,0.40899,1.45944,1.12541,1.52507,0.000810064,0.000810064,0.000810064
30,2381.07,1.32523,1.23435,1.48154,0.69293,0.83687,0.72583,0.41171,1.4135,1.14849,1.51006,0.00078796,0.00078796,0.00078796
31,2444.97,1.30653,1.19962,1.47227,0.67972,0.83759,0.76342,0.43644,1.4583,1.13803,1.54309,0.000765855,0.000765855,0.000765855
32,2508.34,1.29907,1.18963,1.47061,0.6819,0.85101,0.74854,0.43634,1.42464,1.1085,1.51643,0.00074375,0.00074375,0.00074375
33,2572.12,1.3077,1.19525,1.47905,0.68088,0.85158,0.74173,0.42199,1.44485,1.09278,1.53328,0.000721645,0.000721645,0.000721645
34,2635.63,1.29004,1.16945,1.46728,0.68954,0.85331,0.77557,0.45057,1.41365,1.09002,1.50357,0.00069954,0.00069954,0.00069954
35,2699.72,1.27358,1.15424,1.44995,0.6694,0.84827,0.75105,0.43467,1.39419,1.08724,1.50479,0.000677435,0.000677435,0.000677435
36,2763.52,1.2526,1.14426,1.44515,0.67842,0.85451,0.73968,0.42537,1.42167,1.09923,1.52169,0.00065533,0.00065533,0.00065533
37,2827.77,1.27052,1.15387,1.45624,0.69336,0.8678,0.76803,0.45853,1.38102,1.05732,1.48653,0.000633226,0.000633226,0.000633226
38,2891.96,1.26759,1.13437,1.43923,0.69673,0.81511,0.76023,0.43832,1.39501,1.1135,1.52008,0.000611121,0.000611121,0.000611121
39,2956.06,1.26167,1.08372,1.43382,0.68621,0.86451,0.76463,0.45008,1.39719,1.10417,1.49317,0.000589016,0.000589016,0.000589016
40,3020.04,1.24432,1.10805,1.43549,0.71255,0.82932,0.73728,0.42991,1.41833,1.05681,1.51628,0.000566911,0.000566911,0.000566911
41,3084.39,1.23934,1.0972,1.42482,0.67901,0.87379,0.73836,0.43638,1.36787,1.0469,1.47389,0.000544806,0.000544806,0.000544806
